close,time,ema20,ema50
1100,1517071295247,1099.7630000000001,1099.7140952380955
1099.99,1517071296272,1099.81975,1099.7403718820865
1098.46,1517071297500,1099.4798125000002,1099.61843170284
1098.47,1517071298524,1099.227359375,1099.5090572549507
1100,1517071299754,1099.4205195312502,1099.5558137068601
1098.49,1517071300880,1099.1878896484377,1099.45430763954
1099.89,1517071302313,1099.3634172363284,1099.49580215006
1098.77,1517071303610,1099.2150629272464,1099.4266781357685
1098.59,1517071304873,1099.0587971954349,1099.3469945037905
1099.98,1517071305184,1099.289097896576,1099.4072807415248
1099.99,1517071306410,1099.464323422432,1099.4627778137606
1099.96,1517071310301,1099.588242566824,1099.510132307688
1099.97,1517071311426,1099.683681925118,1099.5539292307653
1099.97,1517071311737,1099.7552614438384,1099.5935550183115
1099.99,1517071312860,1099.8139460828788,1099.6313116832341
1099.99,1517071314399,1099.857959562159,1099.665472475307
1099.89,1517071314703,1099.8659696716193,1099.6868560490873
1100.01,1517071315678,1099.9019772537144,1099.71763166346
1100.01,1517071316857,1099.9289829402858,1099.74547626694
1100.01,1517071318493,1099.9492372052143,1099.770669003422
1100.01,1517071318494,1099.9644279039107,1099.7934624316674
1100.08,1517071319828,1099.993320927933,1099.8207517238895
1100.3,1517071320951,1100.0699906959496,1099.8663944168525
1100.3,1517071321258,1100.1274930219622,1099.907690186676
1100.01,1517071322486,1100.0981197664717,1099.9174339784213
1099.99,1517071323719,1100.0710898248537,1099.9243450280953
1099.99,1517071324739,1100.0508173686403,1099.9305978825623
1100,1517071325909,1100.0381130264802,1099.9372076080326
1099.89,1517071326992,1100.0010847698602,1099.9327116453628
1100,1517071328118,1100.000813577395,1099.93912006009
1100,1517071328120,1100.0006101830463,1099.9449181496054
1100.01,1517071329399,1100.0029576372847,1099.9511164210717
1100,1517071330680,1100.0022182279636,1099.9557720000173
1100,1517071332317,1100.0016636709727,1099.959984190492
1100.01,1517071333546,1100.0037477532296,1099.9647476009213
1100.76,1517071334571,1100.1928108149223,1100.0404859246432
1100,1517071334879,1100.1446081111917,1100.0366301222962
1100.02,1517071335902,1100.1134560833939,1100.035046301125
1099.05,1517071337130,1099.8475920625453,1099.9412323676845
1099.07,1517071337439,1099.653194046909,1099.8582578564765
1099.09,1517071339178,1099.5123955351817,1099.7850904415739
1100,1517071340304,1099.6342966513862,1099.805558018567
1099.09,1517071341431,1099.4982224885396,1099.7374096358462
1100,1517071342660,1099.6236668664046,1099.762418241956
1100,1517071343684,1099.7177501498036,1099.7850450760554
1099.12,1517071345015,1099.5683126123527,1099.7217074497644
1099.98,1517071346346,1099.6712344592645,1099.746306740263
1099.58,1517071347371,1099.6484258444484,1099.7304680030952
1100,1517071349214,1099.7363193833362,1099.7561377170862
1100,1517071349235,1099.8022395375021,1099.7793626964112
1099.59,1517071350750,1099.7491796531267,1099.7613281538959
1099.59,1517071351268,1099.709384739845,1099.7450111868582
1100,1517071352492,1099.782038554884,1099.7692958357288
1100,1517071353716,1099.836528916163,1099.7912676608976
1100,1517071354282,1099.8773966871222,1099.8111469312882
1100.28,1517071355563,1099.9780475153416,1099.8557996044988
1100,1517071356794,1099.983535636506,1099.869532975499
1100.28,1517071358640,1100.0576517273796,1099.9086250730704
1100,1517071359863,1100.0432387955348,1099.9173274470638
1100,1517071360478,1100.032429096651,1099.9252010235339
1100.76,1517071361809,1100.2143218224883,1100.0047056879591
1100.76,1517071363305,1100.3507413668663,1100.076638479582
1100.76,1517071363652,1100.4530560251496,1100.1417205291457
1100.76,1517071364881,1100.5297920188623,1100.2006042882747
1100.76,1517071364888,1100.5873440141468,1100.2538800703437
1099.6,1517071366110,1100.34050801061,1100.19160577793
1100.07,1517071367748,1100.2728810079575,1100.18002427527
1099.6,1517071369390,1100.104660755968,1100.1247838681013
1100.07,1517071369796,1100.095995566976,1100.1195663568535
1099.95,1517071370821,1100.059496675232,1100.1034171800102
1100,1517071372459,1100.0446225064238,1100.0935679247712
1099.61,1517071373381,1099.935966879818,1100.0475138366978
1099.6,1517071374507,1099.8519751598633,1100.004893471298
1100,1517071376046,1099.8889813698975,1100.0044274264123
1100,1517071376049,1099.9167360274232,1100.004005766754
1100,1517071377169,1099.9375520205674,1100.0036242651584
1100,1517071378503,1099.9531640154255,1100.003279097048
1100,1517071379013,1099.9648730115691,1100.0029668020911
1100,1517071381061,1099.9736547586767,1100.002684249511
1100,1517071382187,1099.9802410690077,1100.0024286067005
1100,1517071383519,1099.9851808017556,1100.0021973108242
1100,1517071383664,1099.9888856013167,1100.0019880431266
1099.62,1517071385055,1099.8966642009875,1099.9656082294955
1100,1517071386693,1099.9224981507407,1099.9688836362102
1100,1517071391301,1099.9418736130556,1099.9718470994283
1100,1517071392735,1099.9564052097917,1099.9745283280542
1100,1517071394168,1099.9673039073436,1099.9769542015729
1100,1517071395090,1099.9754779305076,1099.9791490395182
1100,1517071397137,1099.9816084478807,1099.9811348452783
1099.99,1517071399165,1099.9837063359105,1099.981979145728
